id,family,subfamily,file,line,symbol_or_selector,property_or_usage,raw_value,current_token_or_formula,classification,closure_state,recommended_action,proof_needed,notes
GVT-0203,typography-text-ink,css-font,src/main/resources/qupath/ext/astra/launcher.css,307,.astra-workflow-arrow,-fx-font-size,14px,14px,generated-css-token,closed-generated,Keep renderer-safe concrete CSS synchronized with LauncherTypographyTokens; staleness tests must fail on drift.,Generated-token staleness test plus text-contract sweep alpha proof for affected rendered text surfaces.,"Typography pass 4 routes CSS font stack, size, and weight through LauncherTypographyTokens and launcher.tokens.css while keeping JavaFX-safe concrete CSS values."
GVT-0204,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,309,.astra-workflow-arrow,-fx-text-fill,#d9e7e8,#d9e7e8,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0205,opacity-translucency-disabled,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,321,.astra-header-action-shell-fill,-fx-fill,"rgba(255, 255, 255, 0.11)","rgba(255, 255, 255, 0.11)",generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0206,opacity-translucency-disabled,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,327,.astra-header-action-shell-border,-fx-stroke,"rgba(255, 255, 255, 0.18)","rgba(255, 255, 255, 0.18)",generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0207,borders-strokes,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,328,.astra-header-action-shell-border,-fx-stroke-width,1px,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0208,margins-padding-gaps-spacing,css-spacing-insets,src/main/resources/qupath/ext/astra/launcher.css,338,.astra-header-actions,-fx-padding,0,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0209,typography-text-ink,css-font,src/main/resources/qupath/ext/astra/launcher.css,349,.astra-header-action-page-title,-fx-font-size,12px,12px,generated-css-token,closed-generated,Keep renderer-safe concrete CSS synchronized with LauncherTypographyTokens; staleness tests must fail on drift.,Generated-token staleness test plus text-contract sweep alpha proof for affected rendered text surfaces.,"Typography pass 4 routes CSS font stack, size, and weight through LauncherTypographyTokens and launcher.tokens.css while keeping JavaFX-safe concrete CSS values."
GVT-0210,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,351,.astra-header-action-page-title,-fx-text-fill,#e8f6f7,#e8f6f7,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0211,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,355,.astra-header-action-page-title .astra-owned-panel-text,-fx-fill,#e8f6f7,#e8f6f7,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0212,typography-text-ink,css-font,src/main/resources/qupath/ext/astra/launcher.css,359,.astra-header-action-page-subtitle,-fx-font-size,10px,10px,generated-css-token,closed-generated,Keep renderer-safe concrete CSS synchronized with LauncherTypographyTokens; staleness tests must fail on drift.,Generated-token staleness test plus text-contract sweep alpha proof for affected rendered text surfaces.,"Typography pass 4 routes CSS font stack, size, and weight through LauncherTypographyTokens and launcher.tokens.css while keeping JavaFX-safe concrete CSS values."
GVT-0213,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,360,.astra-header-action-page-subtitle,-fx-text-fill,#c4dadd,#c4dadd,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0214,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,364,.astra-header-action-page-subtitle .astra-owned-panel-text,-fx-fill,#c4dadd,#c4dadd,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0215,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,376,.astra-header-action-page-controls .astra-header-options-label,-fx-text-fill,#e8f6f7,#e8f6f7,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0216,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,380,.astra-header-action-page-controls .astra-header-options-label .astra-owned-panel-text,-fx-fill,#e8f6f7,#e8f6f7,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0217,typography-text-ink,css-font,src/main/resources/qupath/ext/astra/launcher.css,388,.astra-header-action-back-button,-fx-font-size,10.5px,10.5px,generated-css-token,closed-generated,Keep renderer-safe concrete CSS synchronized with LauncherTypographyTokens; staleness tests must fail on drift.,Generated-token staleness test plus text-contract sweep alpha proof for affected rendered text surfaces.,"Typography pass 4 routes CSS font stack, size, and weight through LauncherTypographyTokens and launcher.tokens.css while keeping JavaFX-safe concrete CSS values."
GVT-0218,margins-padding-gaps-spacing,css-spacing-insets,src/main/resources/qupath/ext/astra/launcher.css,393,.astra-header-menu-button,-fx-padding,7 11,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0219,margins-padding-gaps-spacing,css-spacing-insets,src/main/resources/qupath/ext/astra/launcher.css,398,.astra-header-home-button,-fx-padding,7 11,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0220,typography-text-ink,css-font,src/main/resources/qupath/ext/astra/launcher.css,404,.button.astra-header-home-button .astra-owned-control-text,-fx-font-size,12.5px,12.5px,generated-css-token,closed-generated,Keep renderer-safe concrete CSS synchronized with LauncherTypographyTokens; staleness tests must fail on drift.,Generated-token staleness test plus text-contract sweep alpha proof for affected rendered text surfaces.,"Typography pass 4 routes CSS font stack, size, and weight through LauncherTypographyTokens and launcher.tokens.css while keeping JavaFX-safe concrete CSS values."
GVT-0221,typography-text-ink,css-font,src/main/resources/qupath/ext/astra/launcher.css,419,.astra-header-menu-chevron,-fx-font-size,13px,13px,generated-css-token,closed-generated,Keep renderer-safe concrete CSS synchronized with LauncherTypographyTokens; staleness tests must fail on drift.,Generated-token staleness test plus text-contract sweep alpha proof for affected rendered text surfaces.,"Typography pass 4 routes CSS font stack, size, and weight through LauncherTypographyTokens and launcher.tokens.css while keeping JavaFX-safe concrete CSS values."
GVT-0222,z-layer-clipping-edge-artifacts,css-visual-declaration,src/main/resources/qupath/ext/astra/launcher.css,420,.astra-header-menu-chevron,-fx-translate-y,-1px,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0223,opacity-translucency-disabled,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,424,.astra-header-menu-button-settings,-fx-border-color,"rgba(191, 226, 228, 0.86)","rgba(191, 226, 228, 0.86)",generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0224,opacity-translucency-disabled,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,428,.astra-header-menu-button-project,-fx-border-color,"rgba(252, 205, 184, 0.9)","rgba(252, 205, 184, 0.9)",generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0225,opacity-translucency-disabled,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,432,.astra-header-menu-button-view,-fx-border-color,"rgba(219, 235, 238, 0.86)","rgba(219, 235, 238, 0.86)",generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0226,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,436,.astra-header-menu-item-danger .label,-fx-text-fill,#7c2417,#7c2417,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0227,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,441,.astra-header-menu-item-danger .astra-owned-menu-text,-fx-fill,#7c2417,#7c2417,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0228,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,445,.astra-header-menu-item-success .label,-fx-text-fill,#17623b,#17623b,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0229,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,450,.astra-header-menu-item-success .astra-owned-menu-text,-fx-fill,#17623b,#17623b,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0230,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,454,.astra-header-menu-item-default .label,-fx-text-fill,#172431,#172431,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0231,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,459,.astra-header-menu-item-default .astra-owned-menu-text,-fx-fill,#172431,#172431,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0232,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,468,.astra-header-options-panel,-fx-background-color,#ffffff,#ffffff,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0233,bevels-radii-arcs-tab-curvature,css-radius-arc,src/main/resources/qupath/ext/astra/launcher.css,469,.astra-header-options-panel,-fx-background-radius,7,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0234,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,470,.astra-header-options-panel,-fx-border-color,#bfd3d8,#bfd3d8,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0235,bevels-radii-arcs-tab-curvature,css-radius-arc,src/main/resources/qupath/ext/astra/launcher.css,471,.astra-header-options-panel,-fx-border-radius,7,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0236,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,475,.astra-header-options-group,-fx-background-color,#f7fbfc,#f7fbfc,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0237,bevels-radii-arcs-tab-curvature,css-radius-arc,src/main/resources/qupath/ext/astra/launcher.css,476,.astra-header-options-group,-fx-background-radius,6,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0238,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,477,.astra-header-options-group,-fx-border-color,#d2e3e7,#d2e3e7,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0239,bevels-radii-arcs-tab-curvature,css-radius-arc,src/main/resources/qupath/ext/astra/launcher.css,478,.astra-header-options-group,-fx-border-radius,6,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0240,typography-text-ink,css-font,src/main/resources/qupath/ext/astra/launcher.css,482,.astra-header-options-label,-fx-font-size,11px,11px,generated-css-token,closed-generated,Keep renderer-safe concrete CSS synchronized with LauncherTypographyTokens; staleness tests must fail on drift.,Generated-token staleness test plus text-contract sweep alpha proof for affected rendered text surfaces.,"Typography pass 4 routes CSS font stack, size, and weight through LauncherTypographyTokens and launcher.tokens.css while keeping JavaFX-safe concrete CSS values."
GVT-0241,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,484,.astra-header-options-label,-fx-text-fill,#314955,#314955,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0242,typography-text-ink,css-font,src/main/resources/qupath/ext/astra/launcher.css,488,.astra-header-segment-button,-fx-font-size,11px,11px,generated-css-token,closed-generated,Keep renderer-safe concrete CSS synchronized with LauncherTypographyTokens; staleness tests must fail on drift.,Generated-token staleness test plus text-contract sweep alpha proof for affected rendered text surfaces.,"Typography pass 4 routes CSS font stack, size, and weight through LauncherTypographyTokens and launcher.tokens.css while keeping JavaFX-safe concrete CSS values."
GVT-0243,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,490,.astra-header-segment-button,-fx-background-color,#edf4f5,#edf4f5,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0244,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,491,.astra-header-segment-button,-fx-text-fill,#0d4f55,#0d4f55,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0245,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,492,.astra-header-segment-button,-fx-border-color,#bfd3d8,#bfd3d8,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0246,bevels-radii-arcs-tab-curvature,css-radius-arc,src/main/resources/qupath/ext/astra/launcher.css,493,.astra-header-segment-button,-fx-border-radius,4,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0247,bevels-radii-arcs-tab-curvature,css-radius-arc,src/main/resources/qupath/ext/astra/launcher.css,494,.astra-header-segment-button,-fx-background-radius,4,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0248,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,502,.astra-header-segment-button-selected:hover,-fx-background-color,#0d4f55,#0d4f55,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0249,margins-padding-gaps-spacing,css-spacing-insets,src/main/resources/qupath/ext/astra/launcher.css,503,.astra-header-segment-button-selected:hover,-fx-background-insets,0,renderer-safe generated concrete CSS value derived from LauncherGeometryTokens,generated-css-token,closed-generated,Keep generated concrete CSS synchronized with LauncherGeometryTokens; staleness tests must fail on drift.,Generated-token staleness test plus JavaFX preview/parser smoke and affected-surface visual review.,CSS declaration now uses renderer-safe generated concrete values because JavaFX looked-up size values are not reliable for size properties.
GVT-0250,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,505,.astra-header-segment-button-selected:hover,-fx-border-color,#0d4f55,#0d4f55,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0251,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,520,.astra-button-toggle-active,-fx-background-color,#0d7f80,#0d7f80,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
GVT-0252,colors-theme-semantic-roles,css-color-border-fill,src/main/resources/qupath/ext/astra/launcher.css,522,.astra-button-toggle-active,-fx-border-color,#07595d,#07595d,generated-css-token,closed-generated,Keep launcher theme/state values routed through LauncherThemeTokens and generated launcher.tokens.css; CSS uses renderer-safe concrete opacity mirrors guarded by PipelineLauncherTest.,theme/state pixel sampling plus generated-token and opacity-allowlist source guards,Theme/state pass 5 routes launcher stylesheet colors through generated LauncherThemeTokens values; opacity values are renderer-safe CSS mirrors constrained by LauncherThemeTokens.CSS_OPACITY_VALUES.
