id,surface,state,source_file,source_symbol_or_selector,visual_families,proof_required,coverage_status,notes
GSC-0108,runtime installer window,idle,src/main/java/qupath/ext/astra/RuntimeInstaller.java,InstallProgress.create,control geometry;margins/padding/gaps;popup/dialog geometry;typography/text ink,installer window screenshot and geometry table,covered-bevel-pass-1-proof,Runtime installer proof: /private/tmp/astra-bevel-pass-proof-runtime/runtime-installer-geometry.md.
GSC-0109,runtime installer window,active/running,src/main/java/qupath/ext/astra/RuntimeInstaller.java,InstallProgress.step,control geometry;motion/animation/gradient speed;typography/text ink;colors/theme/semantic roles,running installer preview and timer proof,covered-needs-rendered-proof,Elapsed timer state.
GSC-0110,runtime installer window,success,src/main/java/qupath/ext/astra/RuntimeInstaller.java,RuntimeSetupOutcome,colors/theme/semantic roles;typography/text ink;button families;popup/dialog geometry,result screenshot and message classification proof,covered-needs-rendered-proof,Already ready created repaired.
GSC-0111,runtime installer window,error,src/main/java/qupath/ext/astra/RuntimeInstaller.java,RuntimeSetupFailure,colors/theme/semantic roles;typography/text ink;button families;popup/dialog geometry,failure screenshot and classification proof,covered-needs-rendered-proof,Failure classes mapped.
GSC-0112,runtime installer window,cancelled,src/main/java/qupath/ext/astra/RuntimeInstaller.java,RuntimeFailureKind.CANCELLED,colors/theme/semantic roles;typography/text ink;button families;popup/dialog geometry,cancel screenshot and process cancellation proof,covered-needs-rendered-proof,Cancelled state.
GSC-0113,runtime installer technical log,expanded,src/main/java/qupath/ext/astra/RuntimeInstaller.java,TextArea log,typography/text ink;control geometry;margins/padding/gaps;popup/dialog geometry,expanded log screenshot and text alpha proof,covered-needs-rendered-proof,Verbose log secondary surface.
GSC-0114,runtime installer technical log,collapsed,src/main/java/qupath/ext/astra/RuntimeInstaller.java,log disclosure path,button families;control geometry;margins/padding/gaps,collapsed log screenshot,covered-needs-rendered-proof,If disclosure is present it is covered.
GSC-0115,parameter help dialog,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,showParameterHelp,popup/dialog geometry;typography/text ink;margins/padding/gaps;colors/theme/semantic roles,dialog screenshot plus section-card bounds proof,covered-needs-rendered-proof,Help dialog shell.
GSC-0116,parameter help details panel,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,help detail cards,fades/overlays/masks;bevels/radii/arcs/tab curvature;margins/padding/gaps;typography/text ink,details section card screenshot and text alpha proof,covered-bevel-pass-1-proof,Help details proof: /private/tmp/astra-bevel-pass-proof-geometry/help-dialog-geometry-overlay.md.
GSC-0117,parameter help copy action,pressed,src/main/java/qupath/ext/astra/PipelineLauncher.java,Copy Details button,button families;typography/text ink;control geometry,button state plus clipboard exactness test,covered-needs-rendered-proof,Copy details must preserve source text.
GSC-0118,settings profile save dialog,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,Dialog<String> dialog = new Dialog<> at profile save,popup/dialog geometry;typography/text ink;button families;control geometry,dialog capture plus text input alpha proof,covered-needs-rendered-proof,extension-owned text dialog.
GSC-0119,settings profile overwrite dialog,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,Dialog<ButtonType> dialog at confirmation,popup/dialog geometry;typography/text ink;button families;colors/theme/semantic roles,confirmation dialog capture,covered-needs-rendered-proof,extension-owned confirmation.
GSC-0120,settings profile result dialog,success,src/main/java/qupath/ext/astra/PipelineLauncher.java,settings profile result dialog,popup/dialog geometry;typography/text ink;button families;colors/theme/semantic roles,result dialog capture,covered-needs-rendered-proof,Success message state.
GSC-0121,settings profile result dialog,error,src/main/java/qupath/ext/astra/PipelineLauncher.java,settings profile error dialog,popup/dialog geometry;typography/text ink;button families;colors/theme/semantic roles,error dialog capture,covered-needs-rendered-proof,Error message state.
GSC-0122,settings profile load FileChooser,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,FileChooser chooser = new FileChooser(),native file chooser,native OS behavior,native-exempt,Only accepted native exemption.
GSC-0123,alert-like message dialog,warning,src/main/java/qupath/ext/astra/PipelineLauncher.java,createMessageDialog,colors/theme/semantic roles;popup/dialog geometry;typography/text ink;button families,message dialog capture,covered-needs-rendered-proof,QuPath native alerts are not exempt.
GSC-0124,alert-like message dialog,error,src/main/java/qupath/ext/astra/PipelineLauncher.java,createRunFailureDialog,colors/theme/semantic roles;popup/dialog geometry;typography/text ink;button families,error dialog capture,covered-needs-rendered-proof,Error messages must be extension-owned.
GSC-0125,profile text input dialog,focused,src/main/java/qupath/ext/astra/PipelineLauncher.java,Dialog<String> profile name text field,typography/text ink;control geometry;borders/strokes,transparent text-field alpha proof,covered-needs-rendered-proof,TextInputDialog class is banned but custom dialog text fields remain.
GSC-0126,context menu base,default,src/main/resources/qupath/ext/astra/launcher.css,.context-menu,dropdown/menu/list geometry;margins/padding/gaps;colors/theme/semantic roles;z-layer/clipping/edge artifacts,actual menu popup capture,covered-needs-rendered-proof,All context menus share base CSS.
GSC-0127,menu item base,focused,src/main/resources/qupath/ext/astra/launcher.css,.menu-item:focused,dropdown/menu/list geometry;colors/theme/semantic roles;typography/text ink,focused menu row capture,covered-needs-rendered-proof,Menu state row.
GSC-0128,list view base,default,src/main/resources/qupath/ext/astra/launcher.css,.astra-list-view .list-cell,dropdown/menu/list geometry;typography/text ink;margins/padding/gaps;colors/theme/semantic roles,list-cell rendered proof,covered-needs-rendered-proof,All launcher list views.
GSC-0129,tooltip base,popup open,src/main/java/qupath/ext/astra/PipelineLauncher.java,Tooltip,dropdown/menu/list geometry;popup/dialog geometry;typography/text ink;colors/theme/semantic roles,actual tooltip popup capture,covered-needs-rendered-proof,Tooltip popup coverage row.
GSC-0130,dialog buttons,default,src/main/resources/qupath/ext/astra/launcher.css,.astra-dialog-pane .button,button families;control geometry;typography/text ink;colors/theme/semantic roles,dialog button family proof,covered-needs-rendered-proof,Dialog buttons family.
GSC-0131,dialog buttons,hover,src/main/resources/qupath/ext/astra/launcher.css,.astra-button:hover,button families;colors/theme/semantic roles;opacity/translucency/disabled state,state screenshot,covered-needs-rendered-proof,Dialog hover state uses shared grammar.
GSC-0132,dialog buttons,disabled,src/main/resources/qupath/ext/astra/launcher.css,.astra-button:disabled,button families;opacity/translucency/disabled state;typography/text ink,disabled dialog button proof,covered-needs-rendered-proof,Disabled OK states.
GSC-0133,native directory chooser,default,src/main/java/qupath/ext/astra,DirectoryChooser search result absent,native file chooser,no proof required,covered,No DirectoryChooser usage found in launcher source.
GSC-0134,table view,default,src/main/java/qupath/ext/astra,TableView search result absent,dropdown/menu/list geometry,no proof required,covered,No TableView usage found in launcher source.
GSC-0135,scientific runtime values,out-of-scope-scientific,src/main/java/qupath/ext/astra/RuntimeInstaller.java,runtime pins and command arguments,scientific/runtime behavior,no GUI proof required,out-of-scope-scientific,Runtime pins are not GUI visual tokens.
